Name,Number of titles in library
"Ab Hugh, Dafydd",2
"Abercrombie, Joe",1
"Adamski, George",1
"Aldiss, Brian",1
"Aldiss, Brian W.",9
"Aldiss, Brian W. & Harrison, Harry",1
"Aldiss, Brian W. & Wingrove, David",1
"Algren, Nelson",1
"Allen, Martin",1
"Allen, Roger MacBride",1
"Amis, Kingsley",4
"Amis, Kingsley & Conquest, Robert",1
"Anderson, Kevin David and Stall, Sam",1
"Anderson, Kevin J.",7
"Anderson, Poul",2
"Anghelides, Peter",1
Anonymous,2
"Anthony, Piers",3
"Archer, Nathan",1
"Arrowsmith, Nancy",1
"Ash, Brian",2
"Asimov, Isaac",17
"Asimov, Isaac {???}",1
"Asprin, Robert",3
"Asprin, Robert & Abbey, Lynn",1
"Atwood, Margaret",1
"Bachman, Richard (psd. Stephen King)",1
"Baen, James",2
"Bahnson, Agnew H.",1
"Bailey, Hilary",2
"Ball, Brian N.",2
"Ballantyne, Tony",1
"Ballard, J. G.",13
"Banks, Iain",1
"Banks, Iain M.",12
"Barjavel, René",2
"Barker, Clive",8
"Barker, Muhammad Abd-al-Rahman",1
"Barnes, John",7
"Barnes, Steven",1
"Barr, Donald",1
"Barrett, David V.",1
"Barrett, Neal",1
"Barringer, Leslie",1
"Barron, D. G.",1
"Barry, Ray (psd. Denis Hughes)",1
"Barth, John",1
"Bass, T. J.",2
"Baum, L. Frank",3
"Baxter, John",1
"Baxter, Stephen",12
"Bayley, Barrington J.",9
"Beagle, Peter S.",8
"Bear, David",1
"Bear, Elizabeth",2
"Bear, Greg",19
"Bearne, C. G.",1
"Beauman, Ned",1
"Bell, Alex",1
"Benford, Gregory",13
"Benford, Gregory and Brin, David",1
"Benson, D. R.",2
"Berger, Thomas",1
"Berk, Howard",1
"Bernanos, Michel",1
"Bernard, Christine",1
"Bernard, Rafe",1
"Berry, Adrian",1
"Berry, Bryan",1
"Bertin, Jack",1
"Bester, Alfred",13
"Bester, Alfred & Zelazny, Roger ",1
"Betancourt, John Gregory",1
"Bierce, Ambrose",3
"Biggle, Lloyd Jr.",10
"Billson, Anne",1
"Binder, Eando (psd. Otto Binder)",3
"Binney, Sarah",2
"Birkin, Charles",1
"Bischoff, David F. & Bailey, Dennis R. ",1
"Bishoff, David",1
"Bishop, Michael",8
"Bisson, Terry ",1
"Blackburn, John",1
"Blackwood, Algernon",1
"Blake, Nicholas",1
"Blatty, William Peter",1
"Blaylock, James P.",6
"Bleiler, Everett F. & Dikty, T. E. (eds.)",2
"Blish, James",35
"Blish, James ",2
"Blish, James & Knight, Normal L",1
"Blish, James & Lowndes, Robert",2
"Blish, James and Silverberg, Robert",1
"Bloch, Robert",3
"Bloom, W. W.",1
"Blow, Ernest J.",1
"Blumenfeld, Yorick",1
"Boardman, Tom",2
"Boardman, Tom (ed.)",2
"Boggon, Martyn",1
"Boland, John",2
"Bonanno, Margaret Wander",2
"Bond, J. Harvey",1
"Bone, J. F.",1
"Bonfiglioli, Kyril",1
"Boorman, John & Stair, Bill",1
"Borges, Jorge Luis",2
"Borges, Jorge Luis; Ocampo, Silvina & Casares, Adolfo Bioy",1
"Boucher, Anthony",7
"Boucher, Chris",1
"Boulle, Pierre",2
"Bounds, Sydney J.",1
"Boutin, Otto",2
"Bova, Ben",22
"Bova, Ben & Dickson, Gordon R.",1
"Boyd, John",4
"Boyer, E. H.",4
"Boyer, Robert H.",2
"Boyer, Robert H. & Zahorski, Kenneth ",1
"Brackett, Leigh",3
"Bradbury, Ray",23
"Bradbury, Ray & Bloch, Robert",1
"Bradbury, Ray (ed.)",1
"Bradley, Marion Zimmer",17
"Bradley, Marion Zimmer etc.",1
"Bradner, Gary",1
"Bradshaw, Gillian",1
"Bramah, Ernest",1
"Brand, Kurt",3
"Brandner, Gary",1
"Braun, Lilian Jackson",1
"Breggin, Peter",1
"Brenchley, Chaz",2
"Bretnor, Reginald",1
"Brett, Leo",3
"Brett, Peter V.",1
"Brewer, E. Cobham & Evans, Ivor H.",1
"Briggs, Katharine Mary",1
"Brin, David",14
"Brin, David & Benford, Gregory ",1
"Britain, Dan",1
"Brooke, Keith",1
"Brooks, Terry",10
"Brown, Charles N.",1
"Brown, Eric",4
"Brown, Fredric",8
"Broxon, Mildred Downey",1
"Brunner, John",46
"Brunner, John ",1
"Budrys, Algis",11
"Bujold, Lois McMaster",10
"Bulgakov, Mikhail Afanasevich & Glenny, Michael",1
"Bulgakov, Mikhaíl Afanasyevich",1
"Bulmer, H. Kenneth",8
"Bulmer, Kenneth",6
"Bunch, Chris",2
"Burke, John Frederick",4
"Burkett, William R.",1
"Burnett, Frances Hodgson",1
"Burroughs, Edgar Rice",26
"Burroughs, William",1
"Busby, F. M.",3
"Butcher, Jim",2
"Butler, Octavia E.",8
"Byant, Edward",1
"Cabell, James Branch",6
"Cadigan, Pat",1
"Caidin, Martin",1
"Caldecott, Moyra",1
"Calder, Richard",1
"Cameron, Lou",1
"Campbell, H. J.",2
"Campbell, John W.",13
"Campbell, Marion",1
"Campbell, Ramsey",2
"Camus, Albert",1
"Canavan, Trudi",4
"Cannell, Stephen J.",1
