Title,Author,Year,ISBN,Location,Notes,Status,Tag,Series name,Number in series
0-Zone,"Theroux, Paul",1986,9780140099899,Main Collection,-,Available,THER1/,"",
"10,000 Light-Years from Home","Tiptree, James Jr.",0,?,Main Collection,-,Available,TIPT1/,?,
100 Great Fantasy Short Stories,"Asimov, Isaac",1984,9780860000000,Anthologies,-,Available,a/ASIM1/,?,
100 Great Science Fiction Short Short Stories,"Asimov, Isaac",1980,033026155x,Anthologies,-,Available,a/ASIM1/,?,
100 Years of Science Fiction Book One,"Knight, Damon (ed.)",0,?,Main Collection,-,Available,KNIG1/,?,
100 Years of Science Fiction Book Two,"Knight, Damon (ed.)",0,?,Main Collection,-,Available,KNIG1/,?,
"11th Plague, The","Peters, L. T.",0,?,Main Collection,-,Withdrawn,PETE1/,?,
"13 Clocks: And The Wonderful O, The","Thurber, James",1962,0140301801,Main Collection,-,Available,THUR1/,?,
13 French Science-Fiction Stories,"Knight, Damon (ed.)",0,?,Main Collection,-,Available,KNIG1/,?,
1633,"Flint, Eric & Weber, David",2003,0743471555,?,(*dup?),Available,FLIN2/,?,
17 x Infinity,"Conklin, Groff",0,?,Main Collection,-,Available,CONK1/,?,
"1972 Annual World's Best SF, The","Wollheim, Donald A. (ed.)",0,?,Main Collection,-,Available,WOLL1/,?,
1984,"Orwell, George",0,?,Main Collection,-,Available,ORWE1/,?,
1Q84,"Murakami, Haruki",0,,"1Q84 1,2,3",12,"1,2,3",,?,
2001,"Clarke, Arthur C.",1985,090571282X,?,(*dup?),Available,CLAR3/,?,
2001: A Space Odyssey / The City and the Stars / The Deep Range / A Fall of Moondust / Rendezvous With Rama,"Clarke, Arthur C.",0,,,1,1 etc,"(We're not using separate classmarks for omnibuses since they're collections of existing novels, but the tag for this would otherwise be REALLY ugly and confusing",?,
2010,"Clarke, Arthur C.",1997,0586056998,Main Collection,-,Available,CLAR3/,?,
2061: odyssey three,"Clarke, Arthur C.",1987,0345358791,Main Collection,-,Withdrawn,CLAR3/,?,
2099,"Blumenfeld, Yorick",1999,9780500281574,Main Collection,-,Withdrawn,BLUM1/,?,
3 Faces of Time,"Merwin Jr., Sam",0,?,Main Collection,-,Available,MERW1/,?,
3 From Out There,"Marguiles, Leo",0,?,Main Collection,-,Available,MARG2/,?,
"3 to the Highest Power: Bradbury, Oliver, Sturgeon","Nolan, William F. (ed.)",1968,0552087092,Main Collection,-,Available,NOLA1/,?,
30 Day Wonder,"Wilson, Richard",0,?,Main Collection,-,Available,WILS2/,?,
3001,"Clarke, Arthur C.",1997,0586066241,Main Collection,-,Available,CLAR3/,?,
334,"Disch, Thomas M.",0,?,?,(*dup?),Available,DISC1/,?,
"34th Rule: A Novel, The","George, David R. III & Shimerman, Armin ",1999,671007939,Tie-In Novels,-,Available,t/GEOR1/,?,
5 Tales from Tomorrow,"Dickty, T.E.",0,?,Main Collection,-,Available,DICK5/,?,
5th Head of Cerberus,"Wolfe, Gene",1999,1857988175,Main Collection,-,Available,WOLF2/,?,
"6 Fingers of Time, The","Lafferty, R.A.",0,?,Main Collection,-,Available,LAFF1/,?,
6 and the Silent Scream,"Howard, Ivan (ed.)",0,?,Main Collection,-,Available,HOWA1/,?,
98-4,"Hodder-Williams, Christopher",0,?,Main Collection,-,Available,HODD1/,?,
9th Annual S-F,"Merril, Judith (ed.)",0,?,Main Collection,-,Available,MERR1/,?,
"ABC of Science Fiction, An","Boardman, Tom (ed.)",0,?,Main Collection,-,Available,BOAR1/,?,
ABODE OF LIFE: STAR TREK #6,"Corey, Lee",1989,671705962,Tie-In Novels,-,Available,t/CORE2/,?,
"Aardvark Affair, The","Bradner, Gary",0,?,Main Collection,-,Available,BRAD3/,?,
Abandon Galaxy!,"Somers, Bart",0,?,?,(*dup?),Available,SOME1/,?,
Aberystwyth Mon Amour,"Pryce, Malcolm",2002,9780747557869,Main Collection,-,Available,PRYC1/,?,
"Abode of Life, The","Corey, Lee",1982,0671832972,Main Collection,-,Available,CORE2/,?,
"Abominations of Yondo, The","Smith, Clark Ashton",0,?,Main Collection,-,Available,SMIT1/,?,
Absorption,"Meaney, John",2010,9780575085329,?,(*dup?),Available,MEAN1/,?,
"Acceptable Time, An","L'Engle, Madeleine",1990,9780440208143,Main Collection,-,Available,LENG1/,?,
