Moon Over Soho,"Aaronovitch, Ben",2011,9.78058E+12,Main Collection,,-,-,,AARO1/1-2,Rivers of London 2,,AARO1,1,2,,,A,,y,y,y,y,y,y,y
Rivers of London,"Aaronovitch, Ben",2011,9.78058E+12,Main Collection,,-,-,,AARO1/1-1,Rivers of London 1,,AARO1,1,1,,,A,,y,y,y,y,y,y,y
The Black Flame,"Abbey, Lynn",1980,441065864,Main Collection,,-,-,,ABBE1/1-2,Rifkind 2,,ABBE1,1,2,,,A,,y,y,y,y,y,y,y
Unicorn & Dragon,"Abbey, Lynn",1987,747231397,Main Collection,,-,-,,ABBE1/3-1,Unicorn & Dragon 1,,ABBE1,3,1,,,A,,y,y,y,y,y,y,y
The Green Man,"Abbey, Lynn",1988,747232121,Main Collection,,-,-,,ABBE1/3-2,Unicorn & Dragon 2,,ABBE1,3,2,,,A,,y,y,y,y,y,y,y
Flatland,"Abbott, Edwin Abbott",1884,048627263x,Main Collection,,-,-,,ABBO1/1,-,,ABBO1,1,,,,A,,y,y,y,y,y,y,y
The Blade Itself,"Abercrombie, Joe",2006,9.78058E+12,Main Collection,,-,-,,ABER1/1-1a,First Law 1,,ABER1,1,1,a,,A,,y,y,y,y,y,y,y
The Blade Itself,"Abercrombie, Joe",2006,9.78058E+12,Main Collection,,-,-,,ABER1/1-1b,First Law 1,,ABER1,1,1,b,,A,,y,y,y,y,y,y,y
Shadow & Betrayal,"Abraham, Daniel",2010,9.78184E+12,Main Collection,,-,-,,"ABRA1/2-1,2","Long Price 1,2",,ABRA1,2,"1,2",,,A,,y,y,y,y,y,y,y
The Hitch Hiker's Guide to the Galaxy,"Adams, Douglas",1979,330258648,Main Collection,,-,-,,ADAM1/1-1a,HHGG1,,ADAM1,1,1,a,,A,,y,y,y,y,y,y,y
The Hitch Hiker's Guide to the Galaxy,"Adams, Douglas",1979,330258648,Main Collection,,-,-,,ADAM1/1-1b,HHGG1,,ADAM1,1,1,b,,A,,y,y,y,y,y,y,y
The Restaurant at the End of the Universe,"Adams, Douglas",1980,330262130,Main Collection,,-,-,,ADAM1/1-2a,HHGG2,,ADAM1,1,2,a,,A,,y,y,y,y,y,y,y
The Restaurant at the End of the Universe,"Adams, Douglas",1980,?,Main Collection,,-,-,,ADAM1/1-2b,HHGG2,,ADAM1,1,2,b,,A,,y,y,y,y,-,y,y
"Life, the Universe and Everything","Adams, Douglas",1982,671467263,Main Collection,,-,-,,ADAM1/1-3,HHGG3,,ADAM1,1,3,,,A,,y,y,y,y,y,y,y
"So Long, and Thanks for All the Fish","Adams, Douglas",1984,9.78033E+12,Main Collection,,-,-,,ADAM1/1-4,HHGG4,,ADAM1,1,4,,,A,,y,y,y,y,y,y,y
Dirk Gently's Holistic Detective Agency,"Adams, Douglas",1987,330301624,Main Collection,,-,-,,ADAM1/2-1,Dirk Gently 1,,ADAM1,2,1,,,A,,y,y,y,y,y,y,y
The Long Dark Tea-Time of the Soul,"Adams, Douglas",1988,330309552,Main Collection,,-,-,,ADAM1/2-2,Dirk Gently 2,,ADAM1,2,2,,,A,,y,y,y,y,y,y,y
Mostly Harmless,"Adams, Douglas",1992,9.78033E+12,Main Collection,,-,-,,ADAM1/1-5,HHGG5,,ADAM1,1,5,,,A,,y,y,y,y,y,y,y
The Salmon of Doubt,"Adams, Douglas",2002,9.78033E+12,Main Collection,,-,-,,ADAM1/2-3,Dirk Gently 3,,ADAM1,2,3,,,A,,y,y,y,y,y,y,y
Watership Down,"Adams, Richard",1972,140306013,Main Collection,,-,-,,ADAM2/1-1a,Watership Down 1,,ADAM2,1,1,a,,A,,y,y,y,y,y,y,y
Watership Down,"Adams, Richard",1972,140306013,Main Collection,,-,-,,ADAM2/1-1b,Watership Down 1,,ADAM2,1,1,b,,A,,y,y,y,y,y,y,y
